text	labels
The sinoatrial ( SA ) and atrioventricular ( AV ) nodes are specialized centers of the heart conduction system and are composed of muscle cells with distinctive morphological and electrophysiological properties .	0
We report here results of immunofluorescence and immunoperoxidase studies on the bovine heart showing that a large number of SA and AV nodal cells share a distinct type of myosin heavy chain ( MHC ) which is not found in other myocardial cells and can thus	2
The antibody used in this study was raised against fetal skeletal myosin and reacted with fetal skeletal but not with adult skeletal MHCs .	0
Both atrial and ventricular fibers , as well as fibers of the ventricular conduction tissue were unlabeled by this antibody .	2
Specific reactivity was exclusively seen in most cells in the central portions of the SA and AV nodes and rare cells in perinodal areas .	2
However , a number of nodal cells , particularly those located in the peripheral nodal regions , were unreactive with this antibody .	2
The myosin composition of nodal tissues was also explored using two antibodies reacting specifically with alpha-MHC , the predominant atrial isoform , and beta-MHC , the predominant ventricular isoform .	2
Most nodal cells were reactive for alpha-MHC and a number of them also for beta-MHC .	2
Variation in reactivity with the two antibodies was also observed in perinodal areas : at these sites a population of large fibers reacted exclusively for beta-MHC .	2
These findings point to the existence of muscle cell heterogeneity with respect to myosin composition both in nodal and perinodal tissues .	2
To determine the optimum menstrual cycle time to initiate a long-protocol gonadotropin-releasing hormone agonist ( GnRH-a ) down-regulation regimen before hMG stimulation before IVF .	0
University teaching hospital .	1
Eighty-six infertile couples undergoing IVF-ET attempt under rules for Ireland .	4
Gonadotropin-releasing hormone agonist administered intranasally from day 1 or 21 of menstrual cycle .	3
Human menopausal gonadotropin commenced when pituitary down-regulation was confirmed .	3
Ovarian response , cancellation , fertilization , and pregnancy rates .	1
No significant differences found between day 1 and day 21 initiation .	2
But starting on day 1 is more easily recognizable by patients and avoids the possibility of administering GnRH-a in the presence of an unsuspected pregnancy .	2
Both follicular and luteal phase initiation of GnRH-a long-protocol down-regulation are equally efficacious .	2
In our clinical context , patients and management favor commencing on day 1 .	2
Contemporary computer technology allows precise and fast large database analysis .	0
Widespread and common use depends on appropriate , user friendly software , usually lacking in special medical applications .	0
The aim of this work was to develop an integrated system designed to store , explore and analyze data of patients treated for pancreatic cancer .	0
For that purpose the database administration system MS Visual Fox Pro 3.0 was used and special application , according to ISO 9000 series has been developed .	0
The system works under MS Windows 95 with possibility of easy adaptation to MS Windows 3.11 or MS Windows NT by graphic user 's interface .	0
The system stores personal data , laboratory results , visual and histological analyses and information on treatment course and complications .	0
However the system archives them and enables the preparation reports of according to individual and statistical needs .	0
Help and security settings allow to work also for one not familiar with computer science .	0
In a 37-year-old female patient complaining of increasing pain in the neck and occiput , chiropractic manipulations at the cervical vertebral column were associated with ischaemias of the brain stem presenting as vertigo , transient `` locked-in '' sy	0
Digital subtraction angiography ( DSA ) revealed complete obstruction of the right and slight dissection of the left vertebral artery .	0
The symptoms receded within a few days after heparinisation with 1000 IU/h intravenously .	3
A 39-year-old female patient developed vertigo , nystagmus , tetraparesis and dysarthria two days after chiropractic intervention because of refractory pain in the neck and occiput .	4
DSA showed embolism of the basilar artery and extensive dissections of the vertebral arteries .	0
The basilar artery was completely recanalized after local intraarterial fibrinolysis with 50,000 IU urokinase .	3
During the further course of treatment the symptoms receded under heparin and phenprocoumon over a period of 8 months , except for hemiparesis on the left side especially affecting the arm .	2
Trivial traumas can result in dissections of the vertebral arteries .	2
Severe neck pain is a frequent , typical early symptom .	2
Hence , patients with cervical vertebral column syndromes should receive chiropractic treatment only after careful diagnosis .	2
Highly sensitized ( HS ) patients ( > 85 % panel-reactive antibodies ) have a lower chance of receiving a donor kidney .	0
Within Eurotransplant the Acceptable Mismatch ( AM ) program was developed to increase the chances of HS patients to receive a crossmatch-negative donor kidney .	0
The standard crossmatch in the AM program is based on complement-dependent cytotoxicity .	1
In this study we wanted to determine the clinical relevance of human leukocyte antigen donor-directed antibodies ( DDA ) detected by the single antigen ( SA ) bead technique , in the pretransplant sera of HS patients transplanted in our center through the Euro	4
From 34 AM patients , 27 were transplanted with 1 to 5 mismatches and 7 received a 0-mismatched graft .	2
From the mismatched patients , retrospectively , 13 proved to possess pretransplant DDA by SA whereas 14 did not .	2
No antibodies were found in the 0-mismatched group .	2
Comparison of the DDA + and DDA - patients in the human leukocyte antigen-mismatched donor/recipient combinations revealed a trend to an earlier and higher number of rejection episodes in DDA + patients ( P = 0.08 ) .	2
No detrimental effect of DDA on graft survival was observed .	2
This single-center study showed that in the AM program DDA detected by SA , and not by less-sensitive methods , may be related to acute rejection episodes but is not detrimental to long-term graft outcome .	2
These findings question the increasing use of more-sensitive screening techniques for the allocation of organs .	2
Irritable bowel syndrome ( IBS ) is a common chronic disorder that is associated with significant disability and health care costs .	0
The purpose of this paper is to review and assess published randomised controlled trials examining the clinical effectiveness of interventions for IBS for 1987-1998 .	1
( 1 ) These criteria are adequate description of randomisation , double blinding , and description of withdrawals and dropouts .	1
It is concluded that there are few studies which offer convincing evidence of effectiveness in treating the IBS symptom complex .	2
This review strongly suggests that future work should include well designed trials that : describe the randomisation method ; use internationally approved diagnostic criteria ; and are double blinded and placebo controlled .	2
Clear well defined outcome measures are necessary .	2
Inclusion of quality of life measures allows comparison between trials in different therapeutic areas .	2
Conducting such studies will help to overcome some of the difficulties identified in this review .	2
The effects of lecithinized superoxide dismutase ( PC-SOD ) and/or methylpredisolone ( MP ) in preventing secondary pathological changes after spinal cord injury ( SCI ) were investigated in rats with reference to recovery of hindlimb motor function and express	0
Hindlimb motor function was assessed as the BBB open field locomotor scores .	1
The BBB scores of three groups treated with either PC-SOD ( 40,000 units/kg ) , MP ( 30 mg/kg ) , or a combination of PC-SOD and MP ( PC-SOD + MP ) increased with time until 3 days after SCI , and were significantly higher than that of the control group ( p < 0.05	2
Thereafter , the score of the PC-SOD group increased , whereas that of the MP group showed a temporary decrease from day 3 to 5 and then it gradually recovered .	2
The scores in all groups reached a plateau about 18 days after SCI .	2
The PC-SOD + MP group did not show a synergism but a tendency similar to that of the MP group .	2
PC-SOD and MP had down-regulatory effects on mRNA expression of pro-inflammatory substances such as interleukin-1beta ( IL-1beta ) , intercellular adhesion molecule-1 ( ICAM-1 ) , and inducible-nitric oxide synthetase ( i-NOS ) after spinal cord compression at 3 ,	2
The suppression of pro-inflammatory genes expression , especially IL-1beta were greater in the MP group than in the PC-SOD group , while suppression of LPO level was similar in these two groups .	2
PC-SOD + MP treatment augmented the suppression of all three pro-inflammatory genes expression and the decrease of the LPO level .	2
The level of neurotrophin-3 ( NT-3 ) mRNA increased from 6 h after SCI and reached a maximum after 48 h.	2
NT-3 mRNA level was enhanced by PC-SOD treatment , but not by MP treatment .	2
Thus , the effect of MP in suppressing these pro-inflammatory genes expression was more than that of PC-SOD .	2
